code,name,sector33,close,forecast_per,sector_median_per,sector_relative,self_cheapness,roe,equity_ratio,total_score,in_universe,passes_valuetrap,reasons
8001,サンプル銀行A,銀行業,900,7.5,11.5,0.34782608695652173,0.75,9.0,55,0.5086956521739131,True,True,
8002,サンプル銀行B,銀行業,1100,10.0,11.5,0.13043478260869565,0.75,10.0,52,0.37826086956521743,True,True,
8003,サンプル銀行C,銀行業,1300,13.0,11.5,-0.13043478260869565,0.75,8.5,48,0.22173913043478266,True,True,
8004,サンプル銀行D,銀行業,1500,16.666666666666668,11.5,-0.4492753623188407,0.75,5.0,40,0.030434782608695643,True,False,ROEが下限未満/不明
6001,サンプル電機A,電気機器,2400,20.0,20.0,0.0,0.75,14.0,60,0.30000000000000004,True,True,
6002,サンプル電機B,電気機器,3000,30.0,20.0,-0.5,0.75,12.0,58,5.551115123125783e-17,True,True,
6003,サンプル電機C,電気機器,1800,15.0,20.0,0.25,0.75,15.0,62,0.45000000000000007,True,True,
4001,サンプル化学A,化学,1000,10.0,12.0,0.16666666666666666,0.75,4.0,25,0.4,True,False,ROEが下限未満/不明; 自己資本比率が下限未満/不明; 増収も増益予想も確認できない
4002,サンプル化学B,化学,1200,12.0,12.0,0.0,0.75,3.0,20,0.30000000000000004,True,False,ROEが下限未満/不明; 自己資本比率が下限未満/不明; 直近1年以内に予想下方修正の疑い
4003,サンプル化学C,化学,1400,14.0,12.0,-0.16666666666666666,0.75,2.0,22,0.20000000000000007,True,False,ROEが下限未満/不明; 自己資本比率が下限未満/不明; 増収も増益予想も確認できない
1301,サンプル水産,水産・農林業,600,6.0,,,0.95,10.0,45,0.95,True,True,
